STAID	STATE	FIPS	LAT_DMS 	 LON_DMS	WELLDPTH  	SAMPDATE 	SAMPTIME	AS_RMRK	AS_CONC	LAT_DD	LON_DD
16S     2S      6N      6S      7S      10N     9S      5S      1S      10N     12N     12N
425802115160701	ID	16039	425802	1151607	60	25-Aug-94	922	.	5	42.96722	115.26861
324555115161201	CA	6025	324555	1151612		27-Apr-81	920	.	150	32.76528	115.27
443636115161401	ID	16085	443636	1151614		24-Jun-80	1730	.	2	44.61	115.27055
361602115165501	NV	32003	361602	1151655		14-Mar-95	1405	<	1	36.26722	115.28194
324557115170001	CA	6025	324557	1151700		27-Apr-81	1015	.	60	32.76583	115.28333
324557115170002	CA	6025	324557	1151700		27-Apr-81	1000	.	40	32.76583	115.28333
433220115170601	ID	16039	433220	1151706		04-Aug-81	1330	.	2	43.53889	115.285
425717115172501	ID	16039	425713	1151725	1230	11-Sep-80	1515	.	2	42.95361	115.29028
351557115172601	CA	6071	351557	1151726		25-Aug-81	1300	.	3	35.26583	115.29056
425709115175101	ID	16039	425709	1151751	93	31-Jul-90	1400	.	1	42.9525	115.2975
351332115180201	CA	6071	351332	1151802	271	20-Aug-81	0	.	1	35.22556	115.30055
350650115181801	CA	6071	350650	1151818		20-Aug-81	0	.	1	35.11388	115.305
325035115183101	CA	6025	325035	1151831		30-Nov-78	1400	.	5	32.84306	115.30861
432956115183701	ID	16039	432956	1151837	60	22-Aug-94	1320	<	1	43.49889	115.31028
425746115184701	ID	16039	425746	1151848	91	19-Aug-96	1715	.	33	42.96278	115.31333
425723115190101	ID	16039	425727	1151856	400	15-Sep-80	1330	.	3	42.9575	115.31555
425105115191801	ID	16039	425105	1151918	635	20-Aug-96	1330	.	2	42.85139	115.32166
425930115193801	ID	16039	425930	1151938		11-Sep-80	1245	.	12	42.99166	115.32722
425926115194201	ID	16039	425926	1151942	37	04-Aug-95	1439	.	110	42.99055	115.32833
462018115194601	ID	16049	462018	1151946		15-Jul-82	1030	<	1	46.33833	115.32944
351357115203101	CA	6071	351357	1152031	217	27-Aug-81	1200	.	2	35.2325	115.34194
343806115204001	CA	6071	343806	1152040		22-Jul-81	1600	.	5	34.635	115.34444
350849115213001	CA	6071	350849	1152130	30	29-Aug-81	1200	.	1	35.14695	115.35833
430605115215901	ID	16039	430605	1152159	160	21-Aug-96	1235	.	7	43.10139	115.36639
425731115221301	ID	16039	425731	1152213	130	24-Jul-95	1456	.	42	42.95861	115.37028
421445115223401	ID	16073	421445	1152234	953	27-Jun-78	1120	.	9	42.24583	115.37611
